IW,IF,VW,FP,Depth,Width
0.8,-0.4566,-2.0222,0.0781,1.8095,2.0556
0.8,-0.4566,-2.0222,0.0781,1.899,1.9112
0.8,-0.4566,-2.0222,0.0781,2.1674,2.2721
0.8,-0.4566,-2.0222,0.0781,1.72,1.9834
-0.4,-0.2609,-2.0222,0.0781,2.5253,1.839
-0.4,-0.2609,-2.0222,0.0781,2.3464,1.839
-0.4,-0.2609,-2.0222,0.0781,1.9885,1.9834
-0.4,-0.2609,-2.0222,0.0781,1.9885,2.1277
-0.4,-0.2609,-0.3122,0.0781,0.0199,0.1068
-0.4,-0.2609,-0.3122,0.0781,0.0199,-0.0376
-0.4,-0.2609,-0.3122,0.0781,-0.1591,-0.0376
-0.4,-0.2609,-0.3122,0.0781,0.0199,-0.0376
-0.4,-0.0652,0.665,0.0781,-0.9644,-0.4707
-0.4,-0.0652,0.665,0.0781,-0.7854,-0.4707
-0.4,-0.0652,0.665,0.0781,-0.696,-0.2541
-0.4,-0.0652,0.665,0.0781,-0.8749,-0.3985
0.2,-0.0652,0.665,0.0781,0.0199,-0.6872
0.2,-0.0652,0.665,0.0781,-0.8749,-0.4707
0.2,-0.0652,0.665,0.0781,0.0199,-0.3985
0.2,-0.0652,0.665,0.0781,-0.1591,-0.615
0.8,-0.0652,1.6422,0.0781,-0.338,-0.9398
0.8,-0.0652,1.6422,0.0781,-0.517,-1.0481
0.8,-0.0652,1.6422,0.0781,0.0199,-0.615
0.8,-0.0652,1.6422,0.0781,-0.517,-0.9037
0.8,-1.4351,0.665,1.4837,-1.0539,0.1068
0.8,-1.4351,0.665,1.4837,-1.0539,-0.1098
0.8,-1.4351,0.665,1.4837,-1.2328,-0.3985
0.8,-1.4351,0.665,1.4837,-1.1434,-0.1098
0.8,-0.4566,-2.0222,0.0781,0.7357,1.9834
0.8,-0.4566,-2.0222,0.0781,0.7357,1.839
0.8,-0.4566,-2.0222,0.0781,0.9147,1.839
0.8,-0.4566,-2.0222,0.0781,0.7357,1.839
1.4,-2.0222,0.665,2.1864,-1.5908,0.6842
1.4,-2.0222,0.665,2.1864,-1.5013,0.3955
1.4,-2.0222,0.665,2.1864,-1.4118,0.1068
1.4,-2.0222,0.665,2.1864,-1.7697,0.2511
2.0,-1.8265,-0.3122,2.1864,-1.5908,1.1172
2.0,-1.8265,-0.3122,2.1864,-1.5908,0.9729
2.0,-1.8265,-0.3122,2.1864,-1.7697,0.9729
2.0,-1.8265,-0.3122,2.1864,-1.7697,1.1172
0.8,-0.2609,0.665,0.0781,-0.338,-0.7594
0.8,-0.2609,0.665,0.0781,0.1094,-0.5428
0.8,-0.2609,0.665,0.0781,-0.338,-0.615
0.8,-0.2609,0.665,0.0781,-0.0696,-0.6872
0.2,0.9133,0.665,-0.859,0.3778,-0.615
0.2,0.9133,0.665,-0.859,0.7357,-0.7594
0.2,0.9133,0.665,-0.859,0.7357,-0.7594
0.2,0.9133,0.665,-0.859,0.1988,-0.7594
-1.0,0.9133,0.1764,-0.859,0.3778,-0.615
-1.0,0.9133,0.1764,-0.859,0.5568,-0.4707
-1.0,0.9133,0.1764,-0.859,0.1988,-0.615
-1.0,0.9133,0.1764,-0.859,0.5568,-0.0376
-1.6,1.6961,0.1764,-1.3275,-0.517,-0.615
-1.6,1.6961,0.1764,-1.3275,-0.517,-0.5428
-1.6,1.6961,0.1764,-1.3275,-0.517,-0.5428
-1.6,1.6961,0.1764,-1.3275,-0.517,-0.5428
-1.0,0.9133,0.1764,-0.859,0.0199,-0.7594
-1.0,0.9133,0.1764,-0.859,0.0199,-0.3985
-1.0,0.9133,0.1764,-0.859,0.0199,-0.3263
-1.0,0.9133,0.1764,-0.859,0.0199,-0.7594
-1.6,0.9133,0.1764,-0.859,0.0199,-0.7594
-1.6,0.9133,0.1764,-0.859,0.1988,-0.615
-1.6,0.9133,0.1764,-0.859,0.0199,-0.9037
-1.6,0.9133,0.1764,-0.859,0.1988,-0.6872
-1.0,0.9133,0.1764,-0.859,-0.1591,-0.7594
-1.0,0.9133,0.1764,-0.859,0.0199,-1.0481
-1.0,0.9133,0.1764,-0.859,0.1988,-0.9037
-1.0,0.9133,0.1764,-0.859,0.0199,-0.9037
-0.4,0.9133,0.1764,-0.859,0.7357,-0.7594
-0.4,0.9133,0.1764,-0.859,0.3778,-0.7594
-0.4,0.9133,0.1764,-0.859,0.3778,-0.7594
-0.4,0.9133,0.1764,-0.859,0.5568,-0.7594
